Business Unit,Name,Open,F=Fulfillment,Address,City,State/Province,Country,Zip, SqFt,Month,Year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
"Amazon.com.indc, LLC ",IND5,Y,F,800 South Perry Road,Plainfield,Indiana,USA,46168-7937,"925,800",August,2011,39.694926,-86.35583,0.9,range_interpolation,800,Perry Rd,Plainfield,IN,Hendricks County,46168,US
"Amazon.com.indc, LLC ",IND7,Y,F,9101 Orly Drive,Indianapolis,Indiana,USA,46241,,September,2016,39.743772,-86.329746,0.8,street_center,,Oriole Ct,Indianapolis,IN,Hendricks County,46231,US
Amazon.com.indc LLC,SDF8,Y,F,900 Patrol Road,Jeffersonville,Indiana,USA,47130-7761,"1,200,000",October,2012,38.333402,-85.697211,0.33,place,,,Jeffersonville,IN,Clark County,47130,US
"Amazon.com.indc, LLC",XUSE,Y,F,5100 S. Indianapolis Road,Whitestown,Indiana,USA,46075,"624,000",October,2013,39.965915,-86.381722,0.9,range_interpolation,5100,Indianapolis Rd,Whitestown,IN,Boone County,46075,US
Amazon.com.indc LLC,MDW2,Y,F,401 E. Laraway Road,Joliet,Illinois,USA,60433-9462,"475,104",October ,2015,41.480881,-88.069456,1,range_interpolation,401,E Laraway Rd,Joliet,IL,Will County,60433,US
Amazon.com.indc LLC,MDW4,Y,F,201 Emerald Drive,Joliet,Illinois,USA,60433-3281,"700,000",October,2016,42.027389,-88.199664,1,rooftop,201,Emerald Dr,Streamwood,IL,Cook County,60107,US
"Amazon.com.nvdc, Inc.",STL4,Y,F,3050 Gateway Commerce Center Drive South,Edwardsville,Illinois,USA,62025-2815,"717,000",September,2016,38.769239,-90.076634,0.8,street_center,,Gateway Commerce Center Dr W,Edwardsville,IL,Madison County,62025,US
"Amazon.com.nvdc, Inc.","STL6STL7",Y,F,3931 Lakeview Corporate Dr,Edwardsville,Illinois,USA,62025-2801,"769,500",September,2016,38.798342,-90.076605,0.8,street_center,,Lakeview Corporate Dr,South Roxana,IL,Madison County,62087,US
"Amazon.com.nvdc, Inc.",MDW6,Y,F,1125 Remington Blvd,Romeoville,Illinois,USA,60446-6529,"767,000",September,2016,41.667904,-88.11842,0.8,street_center,,Remington Blvd,Romeoville,IL,Will County,60446,US
"Amazon.com.nvdc, Inc.",MDW7,N,F,6521 W. Monee Manhattan Road,Monee,Illinois,USA,60449-9668,"856,605",October,2017,41.426686,-87.771217,1,range_interpolation,6521,W Monee Manhattan Rd,Monee,IL,Will County,60449,US
"Amazon.com.nvdc, Inc.",MDW8,N,F,1750 Bridge Drive,Waukegan,Illinois,USA,60449,"625,848",July,2017,42.328484,-87.902925,1,rooftop,1750,Bridge Dr,Waukegan,IL,Lake County,60085,US
"Amazon.com.nvdc, Inc.",,N,F,Route 59,Aurora,Illinois,USA,60563,"1,000,000",,2018,41.782929,-88.205882,1,street_center,,State Rte 59,Naperville,IL,DuPage County,60563,US
"Amazon.com.nvdc, Inc.",,N,F,Route 59,Aurora,Illinois,USA,60563,"400,000",,2018,41.782929,-88.205882,1,street_center,,State Rte 59,Naperville,IL,DuPage County,60563,US
Amazon.com.indc LLC,MKC4,Y,F,31450 W 196th Street,Gardner (Edgerton),Kansas,USA,66021,"822,104",Q4,2016,38.772101,-94.87181,0.8,street_center,,W 196th Ter,Spring Hill,KS,Johnson County,66083,US
Amazon.com.indc LLC,MKC6,N,F,6925 Riverview Ave.,Kansas City,Kansas,USA,66102-3047,"856,000",July,2017,39.102134,-94.739708,1,range_interpolation,6925,Riverview Ave,Kansas City,KS,Wyandotte County,66102,US
Quidsi Logistics LLC,MKC3,Y,F,11011 Lackam Road,Lenexa,Kansas,USA,66210,"300,835",June,2012,38.927256,-94.714336,0.22,place,,,Shawnee Mission,KS,Johnson County,66210,US
Amazon.com.indc LLC,MCI7,Y,F,27200 West 157th Street,Johnson (New Century),Kansas,USA,66031,"446,500",Q4,2016,38.842417,-94.673194,0.8,street_center,,W 157th Ter,Shawnee Mission,KS,Johnson County,66223,US
Amazon.com.indc LLC,MCI8,N,F,23100 W 43rd Street,Shawnee,Kansas,USA,66226,"80,000",,2017,39.050855,-94.839555,1,range_interpolation,23100,W 43rd St,Shawnee Mission,KS,Johnson County,66226,US
Amazon.com.indc LLC,CVG8,Y,F,7968 Kentucky Dr,Florence,Kentucky,USA,41042,"172,081",July,2015,38.982033,-84.626594,1,range_interpolation,7968,Kentucky Dr,Florence,KY,Boone County,41042,US
Amazon.com.kydc LLC,CVG1,Y,F,"Bldg. F Park W Int�۪l, 1155 Worldwide Blvd.",Hebron,Kentucky,USA,41048-8648,"484,000",June,2005,39.086656,-84.712389,1,place,,,Hebron,KY,Boone County,41048,US
Amazon.com.kydc LLC,CVG2,Y,F,1600 Worldwide Blvd.,Hebron,Kentucky,USA,41048,"543,000",December ,2005,39.086953,-84.728675,1,range_interpolation,1600,Worldwide Blvd,Hebron,KY,Boone County,41048,US
Amazon.com.kydc LLC,CVG3,Y,F,3680 Langley Dr.,Hebron,Kentucky,USA,41048,"543,000",July,2007,39.056466,-84.711427,0.9,range_interpolation,3680,Langly Dr,Hebron,KY,Boone County,41048,US
Amazoncomkydc LLC ,"LEX1/LEX3",Y,F,1850 Mercer Drive,Lexington,Kentucky,USA,40511,"650,000",November ,2000,38.078834,-84.534683,1,range_interpolation,1850,Mercer Rd,Lexington,KY,Fayette County,40511,US
Amazoncomkydc LLC ,LEX2,Y,F,172 Trade St.,Lexington,Kentucky,USA,40511,"380,000",June,2006,38.074652,-84.547894,1,range_interpolation,172,Trade St,Lexington,KY,Fayette County,40511,US
Amazon.com.kydc LLC,SDF1,Y,F,1188 South Columbia Avenue ,Campbellsville,Kentucky,USA,42718-1337,"727,000",May,1999,37.326245,-85.352727,1,range_interpolation,1188,S Columbia Ave,Campbellsville,KY,Taylor County,42718,US
Amazon.com.kydc LLC,SDF2,Y,F,4360 Robards Ln,Louisville,Kentucky,USA,40218,"110,000",September,2005,38.195148,-85.692734,1,rooftop,4360,Robards Ln,Louisville,KY,Jefferson County,40218,US
